COVID-19 Vaccinations in the United States
Date generated: Wed Jun 09 2021 15:46:24 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,819105,111969,148506,623367,85212,597786,108381,342912,46.9,325951,59.1,294324,40.2,285553,51.8,409305,351100,58700,0,21987,271073,330214,93,125364,148508,20423,29,125041,140154,20329,29,273901,46.9,325951,59.1,37.4,265224,48.1,342912,73581,80.3,68991,75.3,39239,27566,2171,15,138604,151334,894337,342144,56.2,294175,48.3,125362,148363,20421,29,622458,102230,134527
Alabama,4646130,94757,121790,3036833,61936,3008070,78851,1774535,36.2,1753890,46,1443230,29.4,1434282,37.6,2266290,2098740,281100,0,100237,1466737,1469859,0,658849,681797,102490,94,658666,673078,102444,94,1340740,36.2,1753890,46,27.3,1331838,34.9,1774535,646937,76.1,556200,65.4,295646,231731,28765,58,1152268,135587,546708,1774233,42.4,1443208,34.5,658841,681787,102486,94,3036533,72525,110969
Arkansas,2793260,92559,120521,2117118,70154,2065246,89110,1212579,40.2,1176117,50.7,961824,31.9,946047,40.8,1364220,1250240,178800,0,70614,996475,1049463,566,445064,447768,68850,142,444318,433095,68499,135,892974,40.2,1176117,50.7,29.6,877548,37.9,1212579,399873,76.3,335239,64,194198,129980,10972,89,726982,138768,533185,1210029,47.3,961479,37.6,445060,447535,68742,142,2114300,82679,109229
American Samoa,54030,97021,124387,43401,77935,41717,96040,23982,43.1,22968,52.9,19590,35.2,18923,43.6,37830,15600,600,0,38,10594,32769,0,4588,14956,46,0,4575,14302,46,0,19544,43.1,22968,52.9,35.1,18877,43.5,23982,2579,27.2,2311,24.4,925,1379,7,0,4802,50724,570719,23981,50.4,19589,41.2,4587,14956,46,0,43399,91257,113611
Arizona,7903095,108578,140164,6104303,83865,5908329,104786,3438501,47.2,3306753,58.6,2697379,37.1,2638202,46.8,4186455,3285740,430900,0,197128,2657636,3244710,4829,1129037,1376879,189882,1581,1128747,1318110,189770,1575,2507497,47.2,3306753,58.6,34.4,2448432,43.4,3438501,1082962,82.8,910557,69.6,450049,424145,35411,952,2040534,155929,603920,3438127,55.4,2697300,43.5,1129024,1376849,189846,1581,6103849,98353,127345
Bureau of Prisons,196710,N/A,N/A,185605,N/A,185604,N/A,101756,N/A,101755,N/A,89761,N/A,89761,N/A,104130,81580,11000,0,6878,75519,103208,0,34609,48308,6844,0,34609,48308,6844,0,82917,N/A,101755,N/A,0,82917,0,101756,3257,0,2992,0,1453,1453,86,0,6200,0,0,101755,0,89761,0,34609,48308,6844,0,185604,0,0
California,48031090,121560,156874,39633257,100306,37934845,123899,22990099,58.2,21832844,71.3,17813406,45.1,17267541,56.4,25842570,19573120,2615400,0,1405562,16553078,21669189,5428,7190924,9227236,1393697,1549,7171203,8706980,1387848,1510,16419709,58.2,21832844,71.3,41.6,15879693,51.9,22990099,5338661,91.4,4270217,73.1,2197425,1927557,144616,619,9549390,163570,822716,22939145,68.2,17803058,52.9,7190535,9217549,1393426,1548,39572031,117612,142753
Colorado,6861330,119146,152501,5778285,100339,5530437,122920,3193003,55.4,3026219,67.3,2710559,47.1,2629402,58.4,3696810,2824220,340300,0,202292,2474503,3098736,2754,1133996,1376207,199482,874,1131103,1298836,198595,868,2511077,55.4,3026219,67.3,43.6,2430807,54,3193003,727416,86.3,655575,77.8,326175,310926,18201,273,1389849,164984,814486,3185095,64.5,2708957,54.9,1133984,1374635,199464,874,5768744,116869,139004
Connecticut,4620265,129590,162809,4140584,116136,3949794,139183,2296853,64.4,2172390,76.6,1977831,55.5,1915168,67.5,2496585,1873780,249900,0,161429,1629245,2349506,404,756342,1060123,161257,109,756000,997949,161122,97,1816574,64.4,2172390,76.6,51,1754046,61.8,2296853,591372,93.8,547789,86.9,216348,314843,16571,27,1136032,180253,733091,2295679,73.9,1977427,63.7,756143,1059986,161189,109,4139044,133262,148755
District of Columbia,1048495,148565,181532,805360,114114,792788,137260,409540,58,399455,69.2,336199,47.6,332257,57.5,577395,416700,54400,0,25427,318830,460882,221,129074,177980,28984,161,129039,174093,28966,159,307215,58,399455,69.2,43.5,303291,52.5,409540,72582,83.1,63736,73,36185,25532,1998,21,164197,187991,1200430,409467,67.2,336180,55.1,129070,177967,28982,161,805290,132068,171954
Dept of Defense,4358990,N/A,N/A,3764576,N/A,3685888,N/A,2220281,N/A,2157191,N/A,1576870,N/A,1561677,N/A,2355990,1816800,186200,0,126765,1604005,2033407,399,635148,817875,123847,0,635073,802794,123810,0,1453023,N/A,2157191,N/A,0,1437867,0,2220281,177337,0,129042,0,46329,77545,5168,0,315507,0,0,2217817,0,1576760,0,635125,817803,123832,0,3762016,0,0
Delaware,1250745,128444,162394,966633,99268,931412,120932,543542,55.8,520514,67.6,437068,44.9,427448,55.5,677625,507320,65800,0,41830,390587,533880,336,167516,228176,41216,160,167426,218675,41187,160,395852,55.8,520514,67.6,40.7,386261,50.2,543542,173794,92,152241,80.6,62691,81389,8062,99,326418,172794,662099,543398,64.7,437043,52,167512,228162,41209,160,966465,115082,148932
Florida,24068825,112064,139547,19301304,89867,18886761,109502,10821863,50.4,10529371,61,8697027,40.5,8580552,49.7,12656085,9717740,1695000,0,863904,8060884,10337877,38639,3474670,4358392,851453,12512,3473788,4243350,850912,12502,7845574,50.4,10529371,61,36.5,7729640,44.8,10821863,3975759,88.4,3395317,75.5,1694120,1526688,165527,8982,7652890,170165,535179,10815250,57.8,8696109,46.5,3474091,4358311,851195,12512,19293968,103198,128738
Federated States of Micronesia,77800,75065,96237,45734,44126,45704,56535,26751,25.8,26722,33.1,21888,21.1,21878,27.1,0,67600,10200,0,2991,42743,0,0,18878,38,2972,0,18874,38,2966,0,18916,25.8,26722,33.1,18.3,18912,23.4,26751,2263,12.8,2010,11.4,1679,5,326,0,3934,22328,441569,26742,30.2,21884,24.7,18877,38,2969,0,45724,51660,87901
Georgia,10881625,102488,134117,7931960,74707,7714785,95085,4381496,41.3,4230220,52.1,3587882,33.8,3521128,43.4,5690685,4593740,597200,0,203453,3439929,4287918,660,1525134,1862006,200351,391,1524709,1795941,200101,377,3387531,41.3,4230220,52.1,31.9,3321027,40.9,4381496,1211901,79.9,1053220,69.4,586685,440914,25438,183,2336333,154015,717334,4379986,48.7,3587658,39.9,1525092,1861911,200264,391,7930339,88232,121067
Guam,215770,130164,166877,167469,101026,159446,123316,93377,56.3,87717,67.8,76589,46.2,74224,57.4,122070,74200,19500,0,3382,65529,98558,0,29304,43902,3383,0,29296,41545,3383,0,73206,56.3,87717,67.8,44.2,70841,54.8,93377,14665,52,13118,46.5,5621,7266,231,0,27722,98371,765658,93368,66,76588,54.1,29303,43902,3383,0,167459,118294,152421
Hawaii,1897940,134047,170066,1612895,113915,1548253,138732,958412,67.7,907018,81.3,687322,48.5,673150,60.3,1070160,746380,81400,0,32903,573370,912862,93760,245323,390658,33268,18073,244846,377097,33151,18056,654054,67.7,907018,81.3,46.2,639999,57.3,958412,265260,98.8,220886,82.3,92566,119237,7674,1409,478672,178311,707005,955336,78.9,686989,56.7,245279,390409,33239,18062,1610199,132952,156711
Iowa,3370865,106840,138820,2898995,91884,2809282,115693,1574403,49.9,1512396,62.3,1416779,44.9,1389889,57.2,1775085,1407980,187800,0,117193,1259192,1522483,127,604522,697283,114899,75,604414,670555,114845,75,1301880,49.9,1512396,62.3,41.3,1275044,52.5,1574403,485131,87.7,465028,84.1,248391,206095,10491,51,945350,170964,609610,1574357,58.8,1416768,52.9,604516,697280,114897,75,2898975,108321,125953
Idaho,1626965,91041,121518,1257553,70370,1257371,93913,681257,38.1,680625,50.8,597942,33.5,597810,44.7,841425,685440,100100,0,43147,550309,663337,760,251635,303085,42993,229,251624,302979,42979,228,554949,38.1,680625,50.8,31.1,554831,41.4,681257,231095,79.5,215851,74.3,100898,106360,8496,97,444882,153054,559729,681237,45.6,597931,40,251633,303083,42986,229,1257532,84093,108797
Indian Health Svc,1742515,83662,N/A,1388342,66657,1330202,N/A,779055,37.4,739752,N/A,624919,30,606141,N/A,752115,915700,74700,0,23622,759871,604849,0,335068,266398,23453,0,334863,247861,23417,0,601466,37.4,739752,N/A,28.9,582724,0,779055,148566,0,123257,0,71089,49704,2464,0,272390,0,0,778764,0,624800,0,335003,266357,23440,0,1387913,0,0
